pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,12,3,51,3,,,,,131.9591612999793,,131.93259280000348,131.9591612999793,132.95970809995197,132.95970809995197,132.95970809995197,132.95970809995197,132.99244089995045,133.9590805999469,133.9590805999469,134.56218699994497,z,1,0.5914413999998942,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,13,0,52,0,,,,,134.5920146999415,,134.5659829999786,134.5920146999415,135.59185009996872,135.59185009996872,135.59185009996872,135.59185009996872,135.6257495000027,136.59256519994233,136.59256519994233,136.92790449992754,x,1,0.30772679997608066,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,13,1,53,1,,,,,136.9586655999301,,136.9327639999101,136.9586655999301,137.95809039997403,137.95809039997403,137.95809039997403,137.95809039997403,137.99155429995153,138.95808339992072,138.95808339992072,139.5610267999582,v,1,0.5793220000341535,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,13,2,54,2,,,,,139.59231420001015,,139.56463039992377,139.59231420001015,140.59106249990873,140.59106249990873,140.59106249990873,140.59106249990873,140.62484870001208,141.59139680000953,141.59139680000953,142.16196870000567,c,1,0.5666835999581963,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,13,3,55,3,,,,,142.19119609997142,,142.165495299967,142.19119609997142,143.19151109992526,143.19151109992526,143.19151109992526,143.19151109992526,143.2248905999586,144.19102629995905,144.19102629995905,144.69361769990064,z,1,0.46775099996011704,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,14,0,56,0,,,,,144.7241818999173,,144.69721219991334,144.7241818999173,145.72365659999195,145.72365659999195,145.72365659999195,145.72365659999195,145.7576401999686,146.7244544000132,146.7244544000132,147.3611205999041,x,1,0.6309573999606073,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,14,1,57,1,,,,,147.39167339995038,,147.36587009998038,147.39167339995038,148.39103910000995,148.39103910000995,148.39103910000995,148.39103910000995,148.42375329998322,149.39032399991993,149.39032399991993,149.99333560001105,v,1,0.5886326000327244,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,14,2,58,2,,,,,150.02513789990917,,149.99699579994194,150.02513789990917,151.02315319993068,151.02315319993068,151.02315319993068,151.02315319993068,151.05685009993613,152.00755799992476,152.00755799992476,152.47654519998468,c,1,0.46579389995895326,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,14,3,59,3,,,,,152.49072100000922,,152.4792803999735,152.49072100000922,153.49047219997738,153.49047219997738,153.49047219997738,153.49047219997738,153.49047219997738,154.4902658999199,154.4902658999199,155.04324359993916,z,1,0.5493333999766037,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,15,0,60,0,,,,,155.07236130000092,,155.04639849998057,155.07236130000092,156.0723993999418,156.0723993999418,156.0723993999418,156.0723993999418,156.09151449997444,157.0726792999776,157.0726792999776,157.67644189996645,x,1,0.6003678999841213,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
