trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0,45,0,90.60356989997672,,90.40784150001127,10,90.60356989997672,90.60356989997672,0.13172489998396486,91.77401410002494,[-0.155],[0.415],[1],[0],[0],[1.237583700043615],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
46,0,46,0,91.91881629999261,,91.79079910001019,5,91.91881629999261,91.91881629999261,0.07740030001150444,93.32187859999249,[0.11],[0.43666666666666665],[1],[0],[0],[1.4558779000071809],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
47,0,47,0,93.5170017000055,,93.34044930001255,10,93.5170017000055,93.5170017000055,0.14384390000486746,94.84245340002235,[0.185],[0.18333333333333332],[1],[0],[0],[1.3634013999835588],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
48,0,48,0,94.98360829998273,,94.86840879998636,5,94.98360829998273,94.98360829998273,0.08992439997382462,96.39062279998325,[0.365],[0.09333333333333334],[1],[0],[0],[1.4376541000092402],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
49,0,49,0,96.5188243999728,,96.40888730000006,5,96.5188243999728,96.5188243999728,0.0770702000008896,98.08752599998843,[0.008333333333333333],[0.37166666666666665],[1],[0],[0],[1.604787899996154],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
50,0,50,0,98.24977559997933,,98.10390919999918,10,98.24977559997933,98.24977559997933,0.12680940004065633,102.32159579999279,[0.2916666666666667],[-0.48833333333333334],[1],[0],[0],[4.094798100006301],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
51,0,51,0,102.44939119997434,,102.33930789999431,5,102.44939119997434,102.44939119997434,0.0763996999594383,103.85443599999417,[0.041666666666666664],[-0.20166666666666666],[1],[0],[0],[1.4431685999734327],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
52,0,52,0,103.98400810000021,,103.87031019997085,5,103.98400810000021,103.98400810000021,0.07788419997086748,105.45363499998348,[-0.20833333333333334],[0.34],[1],[0],[0],[1.5088970999931917],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
53,0,53,0,105.68383639998501,,105.46980600000825,10,105.68383639998501,105.68383639998501,0.1467386000440456,107.72016309999162,[0.365],[-0.24833333333333332],[1],[0],[0],[2.1074986000312492],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
54,0,54,0,107.85050230001798,,107.73670990002574,5,107.85050230001798,107.85050230001798,0.07484429999021813,110.19022019999102,[0.3516666666666667],[0.095],[1],[0],[0],[2.3823095000116155],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
55,0,55,0,110.41658020002069,,110.21028689999366,10,110.41658020002069,110.41658020002069,0.13945129996864125,111.95231889997376,[0.2966666666666667],[0.405],[1],[0],[0],[1.604365399980452],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
56,0,56,0,112.1017488000216,,111.96840209997026,5,112.1017488000216,112.1017488000216,0.08037570002488792,113.40652060002321,[0.24833333333333332],[0.345],[1],[0],[0],[1.3605900999973528],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
57,0,57,0,113.565749100002,,113.4421311999904,5,113.565749100002,113.565749100002,0.09116439998615533,115.1532885999768,[0.315],[0.28],[1],[0],[0],[1.6270281000179239],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
58,0,58,0,115.31462820002344,,115.17434069997398,10,115.31462820002344,115.31462820002344,0.11684659996535629,118.94918930000858,[-0.355],[-0.4683333333333333],[1],[0],[0],[3.6631737999850884],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
59,0,59,0,119.01391729997704,,118.95652680000057,5,119.01391729997704,119.01391729997704,0.037787700013723224,120.63312960002804,[-0.3933333333333333],[-0.455],[1],[0],[0],[1.6395101000089198],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
60,0,60,0,120.76360509998631,,120.64235149999149,10,120.76360509998631,120.76360509998631,0.09142989997053519,122.30378229997586,[0.36333333333333334],[0.16166666666666665],[1],[0],[0],[1.571324700023979],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
61,0,61,0,122.44659710000269,,122.32118969998555,10,122.44659710000269,122.44659710000269,0.10456750000594184,124.03676599997561,[0.3416666666666667],[0.2866666666666667],[1],[0],[0],[1.6127210999839008],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
62,0,62,0,124.16274419997353,,124.06447340000886,10,124.16274419997353,124.16274419997353,0.08696330001112074,126.38472730002832,[0.265],[-0.22166666666666668],[1],[0],[0],[2.239568800025154],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
63,0,63,0,126.62972359999549,,126.40691979997791,10,126.62972359999549,126.62972359999549,0.14681529998779297,128.07020730001386,[-0.235],[-0.335],[1],[0],[0],[1.5200547000276856],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
